,comp_name,website,date
0,SMARTEXFX,https://www.fca.org.uk/news/warnings/smartexfx,02/12/2022
1,BelleoFX,https://www.fca.org.uk/news/warnings/belleofx,02/12/2022
2,Satelys Ltd,https://www.fca.org.uk/news/warnings/satelys-ltd,02/12/2022
3,Auto FX Trade,https://www.fca.org.uk/news/warnings/auto-fx-trade,02/12/2022
4,cryptocreek-mining.com,https://www.fca.org.uk/news/warnings/cryptocreek-miningcom,02/12/2022
5,ULTIMATETRUSTFX.UK,https://www.fca.org.uk/news/warnings/ultimatetrustfxuk,01/12/2022
6,FX Trading Station,https://www.fca.org.uk/news/warnings/fx-trading-station,01/12/2022
7,COINTRUSTFX,https://www.fca.org.uk/news/warnings/cointrustfx,01/12/2022
8,Debt Help,https://www.fca.org.uk/news/warnings/debt-help,01/12/2022
9,STOCK BIT FX,https://www.fca.org.uk/news/warnings/stock-bit-fx,01/12/2022
10,PRIME WEALTH TRADE,https://www.fca.org.uk/news/warnings/prime-wealth-trade,01/12/2022
11,Money Advice Help,https://www.fca.org.uk/news/warnings/money-advice-help,01/12/2022
12,GISCapital (Clone of FCA Authorised Firm),https://www.fca.org.uk/news/warnings/giscapital-clone-fca-authorised-firm,01/12/2022
13,shorecapital.ltd (Clone of FCA Authorised Firm),https://www.fca.org.uk/news/warnings/shorecapitalltd-clone-fca-authorised-firm,01/12/2022
14,NowLoan / Now Loan Ltd (Clone of FCA Authorised Firm),https://www.fca.org.uk/news/warnings/nowloan-now-loan-ltd-clone-fca-authorised-firm,01/12/2022
15,AUTOFXTRADES,https://www.fca.org.uk/news/warnings/autofxtrades,30/11/2022
16,minnershubs.com,https://www.fca.org.uk/news/warnings/minnershubscom,30/11/2022
17,deermarket.online,https://www.fca.org.uk/news/warnings/deermarketonline,30/11/2022
18,COMPLETEPROMARKETS,https://www.fca.org.uk/news/warnings/completepromarkets,30/11/2022
19,Goldworldcrypto.com,https://www.fca.org.uk/news/warnings/goldworldcryptocom,30/11/2022
20,CASTLE-INVEST.COM,https://www.fca.org.uk/news/warnings/castle-investcom,30/11/2022
21,COASTHERITAGE INVEST,https://www.fca.org.uk/news/warnings/coastheritage-invest,30/11/2022
22,EXTREMEFXMARKETS FOREX,https://www.fca.org.uk/news/warnings/extremefxmarkets-forex,30/11/2022
23,cryptofx marketinginvest,https://www.fca.org.uk/news/warnings/cryptofx-marketinginvest,30/11/2022
24,COIN EXPRESS MARKET,https://www.fca.org.uk/news/warnings/coin-express-market,30/11/2022
25,DIAMOND INVESTMENT,https://www.fca.org.uk/news/warnings/diamond-investment-0,30/11/2022
26,Assets Financial Bank,https://www.fca.org.uk/news/warnings/assets-financial-bank,30/11/2022
27,digitalexchange-assets.com,https://www.fca.org.uk/news/warnings/digitalexchange-assetscom,30/11/2022
28,Global Wealth Asset Management,https://www.fca.org.uk/news/warnings/global-wealth-asset-management,30/11/2022
29,BV Bank (Clone of FCA authorised firm),https://www.fca.org.uk/news/warnings/bv-bank-clone-fca-authorised-firm,30/11/2022
30,Orbenergy.Trade (Clone of FCA authorised firm),https://www.fca.org.uk/news/warnings/orbenergytrade-clone-fca-authorised-firm,30/11/2022
31,BWCinvest,https://www.fca.org.uk/news/warnings/bwcinvest,29/11/2022
32,INDEX FX,https://www.fca.org.uk/news/warnings/index-fx,29/11/2022
33,fxtgianttrades,https://www.fca.org.uk/news/warnings/fxtgianttrades,29/11/2022
34,FXT-TRADERS,https://www.fca.org.uk/news/warnings/fxt-traders,29/11/2022
35,StanFin Bank,https://www.fca.org.uk/news/warnings/stanfin-bank,29/11/2022
36,Straton Hills,https://www.fca.org.uk/news/warnings/straton-hills,29/11/2022
37,ExcaliburFx Ltd,https://www.fca.org.uk/news/warnings/excaliburfx-ltd,29/11/2022
38,Cryptofxflow LTD,https://www.fca.org.uk/news/warnings/cryptofxflow-ltd,29/11/2022
39,LUTON FX TRADE,https://www.fca.org.uk/news/warnings/luton-fx-trade,29/11/2022
40,FX INVESTMENT MINER,https://www.fca.org.uk/news/warnings/fx-investment-miner,29/11/2022
41,GLOBAL ASSETS- FINANCE,https://www.fca.org.uk/news/warnings/global-assets-finance,29/11/2022
42,http://www.debtadvices.co.uk,https://www.fca.org.uk/news/warnings/http-wwwdebtadvicescouk,29/11/2022
43,Ultra Daily FX LTD,https://www.fca.org.uk/news/warnings/ultra-daily-fx-ltd,29/11/2022
44,FPMARKETSTRADE / FP MARKETS TRADE,https://www.fca.org.uk/news/warnings/fpmarketstrade-fp-markets-trade,29/11/2022
45,FX UNLIMITED TRADE / UNLIMITEDFXTRADE,https://www.fca.org.uk/news/warnings/fx-unlimited-trade-unlimitedfxtrade,29/11/2022
46,FXCFDTRADERS,https://www.fca.org.uk/news/warnings/fxcfdtraders,28/11/2022
47,highstarinvest.com,https://www.fca.org.uk/news/warnings/highstarinvestcom,28/11/2022
48,ALBITFX-TRADE,https://www.fca.org.uk/news/warnings/albitfx-trade,28/11/2022
49,CRYPTOFOREXTRADING50,https://www.fca.org.uk/news/warnings/cryptoforextrading50,28/11/2022
